class_id,class_name,precision,recall,f1,support
0,T-shirt_top,0.8421052631578947,0.832,0.8370221327967807,1000
1,Trouser,0.9887983706720977,0.971,0.9798183652875883,1000
2,Pullover,0.8454724409448819,0.859,0.8521825396825397,1000
3,Dress,0.8696517412935323,0.874,0.8718204488778055,1000
4,Coat,0.8165983606557377,0.797,0.8066801619433198,1000
5,Sandal,0.9731127197518097,0.941,0.9567869852567361,1000
6,Shirt,0.669260700389105,0.688,0.6785009861932939,1000
7,Sneaker,0.9204980842911877,0.961,0.9403131115459883,1000
8,Bag,0.9741293532338309,0.979,0.9765586034912718,1000
9,Ankle_boot,0.9575328614762386,0.947,0.9522373051784816,1000
